RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
8,true,1,58,102,24,2,4,1
4,true,0,133,38,1,41,1,7
7,true,1,33,124,37,9,7,3
7,true,1,38,101,27,10,4,4
8,true,1,94,109,25,9,7,3
2,true,0,101,0,8,16,3,4
6,true,1,31,114,41,8,7,3
6,true,1,38,111,25,2,7,1
8,true,0,126,28,4,31,2,7
6,true,0,140,74,0,65,0,10
4,true,0,123,66,7,57,3,10
9,true,0,109,85,3,20,1,7
5,true,0,116,73,10,28,3,5
5,true,0,126,87,2,34,1,7
10,true,1,47,129,44,10,7,4
6,true,0,113,78,8,53,4,7
8,true,1,71,100,36,10,7,4
5,true,1,50,101,17,4,4,3
5,true,0,107,57,5,45,3,7
5,true,0,110,61,3,19,1,4
3,true,1,0,123,58,9,10,3
9,true,1,47,143,56,6,10,3
2,true,0,108,0,0,14,0,4
8,true,0,137,96,2,66,1,10
4,true,0,107,12,6,21,3,5
2,true,0,113,11,3,57,1,10
7,true,1,77,109,26,9,7,3
9,true,1,94,115,44,3,7,1
5,true,1,95,107,13,1,4,1
4,true,1,65,112,41,6,7,3
8,true,1,96,100,18,6,4,3
5,true,0,100,34,0,13,0,4
5,true,1,56,119,25,2,4,2
6,true,0,100,60,7,39,4,7
8,true,1,66,105,24,6,4,3
6,true,0,129,71,2,49,1,10
10,true,1,88,109,15,1,4,1
4,true,1,22,123,39,6,7,2
8,true,1,58,102,13,3,4,1
7,true,1,96,106,41,9,7,4
8,true,1,31,126,31,3,7,1
8,true,1,52,132,52,10,10,3
4,true,0,115,18,9,43,4,7
10,true,1,95,106,24,8,4,4
2,true,1,0,120,45,9,7,4
7,true,0,127,30,8,54,4,10
6,true,1,39,110,29,6,7,2
4,true,1,79,104,31,9,4,3
5,true,1,66,108,63,9,10,4
6,true,1,93,107,62,9,10,4
7,true,0,108,37,1,30,1,7
6,true,1,32,104,23,10,4,2
6,true,0,117,67,0,40,0,7
3,true,0,101,0,4,11,3,3
3,true,1,6,108,39,9,7,4
5,true,0,113,86,1,32,1,7
7,true,0,108,70,0,57,0,10
3,true,0,127,36,1,52,1,10
7,true,1,85,102,66,4,10,1
8,true,1,57,106,41,7,10,4
3,true,1,0,103,64,8,10,4
4,true,1,56,105,40,10,7,3
8,true,1,38,107,44,10,10,4
5,true,0,116,48,10,35,3,7
8,true,1,83,132,26,0,4,0
4,true,1,33,138,56,10,10,3
8,true,1,90,124,41,10,7,4
5,true,0,107,11,0,22,0,7
6,true,0,108,48,0,11,0,4
3,true,1,45,117,55,0,10,0
6,true,1,56,109,59,9,10,3
9,true,1,50,117,38,3,7,1
7,true,0,101,77,10,20,2,4
3,true,0,130,10,1,55,1,10
5,true,1,3,108,47,8,10,2
5,true,0,139,18,7,60,3,10
5,true,1,10,101,40,6,7,3
7,true,1,61,128,44,7,7,3
6,true,1,54,133,46,8,7,4
5,true,1,85,118,34,5,7,1
8,true,1,27,114,28,9,6,4
5,true,0,128,10,0,29,0,4
7,true,1,58,129,53,10,10,4
5,true,0,138,52,8,72,4,10
3,true,1,50,104,57,10,10,4
4,true,0,123,23,0,13,0,4
6,true,0,119,31,9,43,2,7
4,true,1,0,122,33,7,6,4
4,true,1,6,132,38,0,7,0
10,true,1,99,111,22,10,4,3
3,true,0,123,50,8,69,1,10
4,true,0,134,68,10,57,4,10
6,true,1,32,102,20,2,4,1
7,true,0,152,77,6,59,3,10
9,true,1,62,125,61,8,10,3
5,true,0,101,49,0,13,0,3
2,true,0,140,0,9,72,2,10
6,true,1,32,102,25,7,7,3
7,true,1,17,114,19,3,5,1
4,true,1,47,103,29,0,4,0
4,true,1,5,106,25,6,6,1
5,true,0,118,33,10,50,4,10
6,true,0,100,30,3,39,1,10
8,true,1,44,122,35,5,7,1
8,true,1,91,115,37,5,6,1
4,true,0,104,40,2,58,1,10
9,true,1,81,105,23,3,4,2
5,true,0,132,80,1,37,1,7
5,true,1,56,102,32,9,6,3
4,true,1,6,121,58,2,10,1
5,true,1,31,115,27,7,4,3
7,true,0,105,61,7,21,2,4
2,true,1,26,114,61,9,10,3
8,true,0,110,37,3,18,2,7
10,true,0,143,73,8,54,3,10
9,true,0,128,59,9,44,2,7
5,true,1,46,104,38,10,7,3
8,true,1,89,101,34,9,7,3
4,true,0,112,12,10,38,3,7
8,true,1,44,117,26,6,7,4
6,true,1,81,119,13,0,4,0
6,true,1,87,112,23,8,3,3
6,true,0,122,50,1,57,1,10
9,true,1,48,125,54,10,10,4
1,true,0,102,0,0,39,0,7
2,true,1,0,103,44,6,7,2
5,true,0,113,46,10,29,4,7
9,true,1,98,115,36,4,7,3
3,true,1,32,138,78,10,10,3
9,true,1,55,111,27,8,5,3
9,true,0,100,89,3,13,1,4
7,true,0,116,33,6,23,3,7
9,true,0,111,97,0,11,0,3
7,true,1,72,120,54,3,10,1
7,true,0,117,98,5,24,2,7
9,true,0,111,91,0,11,0,4
8,true,0,157,92,8,66,4,10
3,true,0,107,24,0,11,0,4
5,true,1,20,108,26,9,7,3
5,true,1,82,107,46,9,7,4
6,true,1,43,120,23,0,4,0
5,true,0,101,84,10,52,4,10
8,true,1,78,103,20,9,2,3
2,true,0,113,0,5,64,1,10
9,true,0,116,64,3,57,1,10
9,true,1,53,114,36,10,7,3
5,true,1,17,111,15,2,4,1
6,true,1,76,113,46,7,10,4
9,true,1,73,108,20,6,5,3
4,true,1,20,113,28,9,4,4
7,true,0,116,56,10,50,4,10
8,true,1,78,119,30,1,4,1
7,true,0,114,92,9,29,3,7
3,true,1,0,109,20,7,3,3
7,true,0,131,86,0,24,0,4
1,true,1,0,103,43,9,7,2
7,true,0,112,47,8,33,4,7
15,true,0,146,76,6,56,3,10
5,true,0,122,15,9,52,4,10
6,true,1,45,106,21,9,3,3
3,true,1,0,108,14,2,3,1
3,true,1,20,100,44,2,7,1
7,true,0,117,60,1,36,1,7
5,true,0,107,39,8,64,4,10
8,true,0,111,77,9,41,3,7
6,true,1,71,130,42,5,7,3
5,true,0,125,26,6,42,3,7
9,true,0,132,84,10,62,4,10
5,true,1,54,105,15,0,3,0
6,true,1,10,112,22,8,5,2
2,true,0,106,0,9,45,4,7
8,true,1,99,100,35,10,7,3
5,true,0,140,4,10,64,4,10
3,true,0,106,49,7,44,3,7
7,true,0,132,59,5,62,2,10
6,true,1,73,105,48,4,7,3
4,true,1,69,119,45,5,7,3
3,true,0,162,0,6,76,2,10
1,true,1,0,109,16,0,3,0
3,true,0,141,30,0,68,0,10
2,true,1,0,109,21,10,6,3
2,true,1,0,112,26,5,7,2
7,true,0,101,93,0,13,0,4
8,true,0,104,64,8,24,3,7
4,true,1,10,106,39,8,7,3
9,true,0,139,79,0,37,0,7
8,true,1,53,113,38,1,7,1
6,true,1,21,103,54,9,10,4
3,true,1,53,113,38,6,7,3
5,true,0,120,47,0,35,0,7
6,true,0,130,42,6,61,3,10
8,true,1,63,118,15,0,3,0
7,true,0,100,74,8,34,4,7
12,true,0,103,79,6,13,3,3
5,true,1,13,106,18,8,2,3
8,true,1,87,106,37,6,7,1
8,true,0,109,84,8,50,4,10
5,true,1,64,130,45,9,10,4
6,true,0,113,81,7,35,3,7
6,true,1,41,118,55,10,10,3
8,true,0,109,56,1,42,1,7
5,true,1,71,100,28,4,7,1
5,true,0,123,55,10,45,3,10
8,true,1,90,109,33,6,6,2
9,true,0,106,96,1,17,1,5
3,true,1,36,100,14,0,6,0
5,true,1,74,106,54,2,7,1
9,true,1,96,107,16,3,2,1
9,true,0,107,75,7,29,3,7
3,true,0,115,0,2,22,1,6
3,true,1,0,140,57,9,10,3
4,true,0,102,31,5,43,3,7
7,true,1,76,107,17,9,4,4
9,true,1,71,133,64,10,10,4
5,true,0,158,27,9,75,4,10
6,true,0,100,92,9,29,4,7
11,true,1,98,146,57,10,10,3
6,true,0,118,86,0,12,0,3
2,true,1,81,126,56,0,10,0
6,true,0,111,41,0,33,0,7
6,true,0,101,62,1,19,1,4
6,true,1,28,120,63,9,10,4
5,true,0,117,66,3,31,1,7
3,true,0,115,11,0,13,0,5
1,true,0,113,0,8,66,4,10
5,true,1,14,106,30,8,6,3
10,true,1,64,101,17,10,4,3
9,true,0,107,67,5,38,3,7
4,true,1,57,106,31,0,7,0
3,true,0,104,0,6,30,2,7
9,true,1,23,122,31,8,7,3
7,true,1,51,117,56,10,10,4
7,true,1,0,104,21,5,3,1
8,true,0,106,97,10,25,5,6
5,true,0,126,4,6,55,2,10
6,true,0,125,92,0,14,0,4
3,true,1,21,101,54,4,7,2
4,true,1,16,111,60,8,10,3
3,true,1,40,112,22,6,4,3
8,true,1,40,127,36,7,7,3
2,true,1,14,100,69,10,10,4
10,true,1,98,113,31,4,7,2
12,true,1,69,114,29,9,7,4
5,true,1,25,102,53,8,10,3
9,true,0,148,34,10,60,4,7
