GameNumber,RoundNumber,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadwoodPlayer0,DeadwoodPlayer1,CardsInDeadwoodPlayer0,CardsInDeadwoodPlayer1,FinalRound
38,2,1,0,118,39,5,7,2,true
39,0,Null,0,0,66,70,10,11,false
39,0,0,50,0,10,60,4,10,false
39,1,0,111,0,3,64,1,10,true
40,0,Null,0,0,70,77,10,11,false
40,0,0,34,0,4,38,1,7,false
40,1,0,70,0,10,46,4,7,false
40,2,1,70,17,18,1,5,1,false
40,3,0,98,17,9,37,4,7,false
40,4,1,98,45,36,8,6,3,false
40,5,0,107,45,4,13,1,4,true
41,0,Null,0,0,74,60,10,11,false
41,0,0,20,0,10,30,4,7,false
41,1,1,20,28,31,3,7,2,false
41,2,0,32,28,9,21,3,5,false
41,3,0,36,28,10,14,3,4,false
41,4,1,36,44,24,8,7,3,false
41,5,0,56,44,2,22,1,7,false
41,6,0,65,44,8,17,4,6,false
41,7,0,67,44,9,11,4,3,false
41,8,1,67,91,56,9,10,4,false
41,9,1,67,118,36,9,7,4,true
42,0,Null,0,0,73,58,10,11,false
42,0,1,0,39,40,1,7,1,false
42,1,0,30,39,9,39,4,7,false
42,2,1,30,84,53,8,10,3,false
42,3,0,45,84,2,17,1,3,false
42,4,0,48,84,9,12,3,4,false
42,5,1,48,100,24,8,6,3,true
43,0,Null,0,0,68,58,10,11,false
43,0,0,9,0,6,15,3,6,false
43,1,0,29,0,2,22,1,5,false
43,2,0,49,0,6,26,2,7,false
43,3,1,49,26,36,10,7,4,false
43,4,0,56,26,7,14,4,4,false
43,5,0,69,26,8,21,4,7,false
43,6,0,96,26,5,32,1,7,false
43,7,1,96,31,14,9,4,4,false
43,8,0,107,31,10,21,4,6,true
44,0,Null,0,0,66,84,10,11,false
44,0,0,5,0,10,15,3,3,false
44,1,0,41,0,9,45,4,7,false
44,2,1,41,5,13,8,4,3,false
44,3,0,61,5,10,30,3,7,false
44,4,0,87,5,10,36,3,7,false
44,5,0,93,5,10,16,4,4,false
44,6,0,110,5,8,25,4,4,true
45,0,Null,0,0,68,67,10,11,false
45,0,0,22,0,9,31,3,7,false
45,1,0,30,0,9,17,4,4,false
45,2,1,30,17,26,9,7,3,false
45,3,0,41,17,9,20,3,4,false
45,4,1,41,26,19,10,7,3,false
45,5,1,41,30,11,7,4,3,false
45,6,1,41,35,15,10,4,2,false
45,7,1,41,38,11,8,3,3,false
45,8,1,41,43,13,8,4,3,false
45,9,1,41,77,38,4,7,2,false
45,10,0,68,77,5,32,2,7,false
45,11,1,68,83,15,9,4,2,false
45,12,1,68,114,39,8,10,3,true
