Game,Rounds,P0 Score,P1 Score,Winner
290,3,119,0,0
291,4,136,0,0
292,2,108,0,0
293,3,134,0,0
294,2,111,0,0
295,4,135,9,0
296,2,170,0,0
297,2,135,0,0
298,2,124,0,0
299,3,123,0,0
300,3,128,0,0
301,2,118,0,0
302,2,127,0,0
303,3,156,0,0
304,2,121,0,0
305,2,100,0,0
306,2,109,0,0
307,3,162,0,0
308,3,115,0,0
309,2,120,0,0
310,2,109,0,0
311,3,174,0,0
312,2,103,0,0
313,3,157,0,0
314,2,101,0,0
315,3,145,0,0
316,2,112,0,0
317,2,106,0,0
318,4,139,0,0
319,3,123,0,0
320,3,134,0,0
321,3,125,0,0
322,3,147,0,0
323,4,163,0,0
324,3,135,0,0
325,3,128,0,0
326,2,110,0,0
327,3,142,0,0
328,3,121,32,0
329,2,103,0,0
330,3,159,0,0
331,2,116,0,0
332,3,111,0,0
333,3,132,0,0
334,3,117,0,0
335,3,134,0,0
336,3,136,0,0
337,2,130,0,0
338,2,105,0,0
339,6,151,37,0
340,2,160,0,0
341,3,139,0,0
342,2,104,0,0
343,3,123,0,0
344,3,102,0,0
345,2,143,0,0
346,3,130,0,0
347,3,135,0,0
348,2,130,0,0
349,3,158,0,0
350,2,137,0,0
351,2,132,0,0
352,3,125,0,0
353,2,139,0,0
354,2,135,0,0
355,2,108,0,0
356,3,132,0,0
357,2,152,0,0
358,2,134,0,0
359,2,129,0,0
360,3,155,0,0
361,2,110,0,0
362,3,141,0,0
363,3,130,0,0
364,2,120,0,0
365,3,115,0,0
366,2,116,0,0
367,3,103,0,0
368,2,125,0,0
369,2,115,0,0
370,2,124,0,0
371,2,109,0,0
372,2,125,0,0
373,2,129,0,0
374,2,106,0,0
375,2,105,0,0
376,2,106,0,0
377,3,148,0,0
378,3,117,0,0
379,3,129,0,0
380,3,150,0,0
381,2,105,0,0
382,2,119,0,0
383,2,114,0,0
384,3,153,0,0
385,3,137,0,0
386,2,131,0,0
387,2,113,0,0
388,3,146,0,0
389,2,115,0,0
390,2,100,0,0
391,3,147,0,0
392,3,143,0,0
393,2,130,0,0
394,2,128,0,0
395,2,105,0,0
396,3,142,0,0
397,2,100,0,0
398,2,129,0,0
399,3,146,0,0
400,3,141,0,0
401,2,124,0,0
402,3,116,0,0
403,2,111,0,0
404,3,112,0,0
405,3,105,0,0
406,2,140,0,0
407,3,146,0,0
408,2,119,0,0
409,2,108,0,0
